City,Country,Cloudiness,Humidity,Lat,Lon,Temperature,Wind Speed
Tuktoyaktuk,CA,40,70,69.444,-133.032,42.8,5.82
Nadapuram,IN,40,94,11.6956,75.6532,84.2,2.24
Busselton,AU,22,78,-33.6445,115.3489,52.39,19.01
Awbari,LY,83,8,26.5897,12.7694,89.73,13.82
Arraial do Cabo,BR,20,79,-22.9663,-42.0245,71.6,4.7
Mataura,NZ,100,84,-46.1928,168.8643,53.01,13
Leningradskiy,RU,0,66,69.3833,178.4167,20.97,3.4
Luan,CH,84,87,46.3592,6.9759,49.5,2.24
Dikson,RU,0,79,73.5069,80.5464,20.61,16.11
Lavrentiya,RU,96,88,65.5842,-170.989,30.87,7.67
Atuona,PF,5,76,-9.8,-139.0334,82.89,14.92
Grand-Santi,GF,100,98,4.2734,-54.3811,74.61,1.99
Nantucket,US,1,87,41.2835,-70.0995,58.08,14.99
Gimli,CA,99,38,50.6323,-96.9882,60.04,8.01
Qaanaaq,GL,99,95,77.484,-69.3633,19.35,0.4
Kodiak,US,40,48,39.9519,-94.7572,63.84,13.87
Half Moon Bay,US,90,82,37.4636,-122.4286,57.07,6.93
Ponta do Sol,BR,63,93,-20.6335,-45.9989,59.67,1.95
Dubai,AE,0,48,25.2684,55.2962,85.28,9.17
Mayumba,GA,99,88,-3.4391,10.6473,79.47,6.8
Northam,GB,20,93,51.0401,-4.2136,48.11,3.36
Nagarote,NI,40,69,12.2648,-86.5638,82.4,13.87
Kampong Thum,KH,45,66,12.7111,104.8887,85.59,1.9
Broken Hill,AU,40,52,-31.9651,141.4511,68,11.41
Kavieng,PG,91,68,-2.5745,150.7967,84.51,2.95
Isangel,VU,1,71,-19.55,169.2667,76.41,20.11
Camacha,PT,75,82,33.0833,-16.3334,60.51,10.29
Lebu,ET,75,82,8.9611,38.7254,57.2,4.7
Port Hedland,AU,0,55,-20.3112,118.5801,62.6,5.82
Henties Bay,NA,0,94,-22.1161,14.2845,55,1.01
Chenghai,CN,75,100,23.4632,116.768,84.2,4.47
Giddarbaha,IN,22,26,30.2051,74.6635,87.21,6.04
Maceio,BR,40,88,-9.6659,-35.7353,75.2,3.36
Dicabisagan,PH,45,67,17.0818,122.4157,85.77,3.6
Sinnamary,GF,63,86,5.3772,-52.9574,81.09,10.25
Corumba,BR,20,94,-19.0017,-57.6535,80.6,1.92
Barrow,AR,11,53,-38.3131,-60.2291,51.75,0.92
West Helena,US,1,70,34.5507,-90.6418,81.45,9.17
Upernavik,GL,0,86,72.7868,-56.1549,28.17,16.24
Petropavlovsk-Kamchatskiy,RU,40,50,53.0452,158.6483,57.2,6.71
Severo-Kurilsk,RU,98,91,50.6789,156.125,39.87,21.92
Mogadishu,SO,53,85,2.0428,45.3386,78.75,7.25
Provideniya,RU,75,59,64.4238,-173.2276,35.6,11.18
Birao,CF,76,29,10.2962,22.781,89.55,3.53
Mar del Plata,AR,0,49,-46.4276,-67.5191,40.59,1.54
Saint-Philippe,CA,90,87,45.3584,-73.4791,55.94,10.29
Varhaug,NO,0,93,58.6147,5.6457,53.11,4.7
Cherskiy,RU,79,80,68.75,161.3,24.57,8.75
Emerald,AU,0,68,-23.5264,148.1619,68.54,14.99
Airai,TL,99,62,-8.9266,125.4092,80.73,6.64
Souillac,FR,40,93,45.6006,-0.6,51.55,5.82
Faanui,PF,48,77,-16.4834,-151.75,83.25,13.69
Aksu,KZ,75,81,52.0354,76.9341,46.4,4.47
Yellowknife,CA,75,31,62.4541,-114.3774,65.23,9.17
Ewa Beach,US,90,55,21.3156,-158.0089,82.76,11.41
Gilgit,PK,61,69,35.9208,74.314,31.23,1.19
Hobart,AU,0,76,-42.8826,147.3281,50.88,10.29
San Cristobal,EC,75,77,-0.3855,-78.5488,55.22,4.7
Chokurdakh,RU,1,92,70.6192,147.9022,9.27,5.46
Teterow,DE,90,93,53.771,12.5754,55.78,6.93
Vaini,IN,0,93,15.336,74.4926,76.77,3.83
San Patricio,PY,82,92,-26.9767,-56.8274,67.95,4.09
Teguldet,RU,7,74,57.3064,88.1672,45.45,1.99
Sengiley,RU,90,52,53.9589,48.7872,44.6,11.18
Paracuru,BR,75,83,-3.4144,-39.0301,77.94,4.7
Mwingi,KE,47,96,-0.9333,38.0666,62.91,5.28
Lannion,FR,75,93,48.7323,-3.459,52,6.93
Chumikan,RU,93,50,54.7183,135.315,53.55,7.83
Junction City,US,40,45,39.0286,-96.8314,65.17,5.82
Vao,EE,100,73,59.1018,26.1904,58.05,6.64
Tateyama,JP,40,36,36.6634,137.3139,78.08,20.8
Ucluelet,CA,20,59,48.9414,-125.5491,68.18,13.87
Bhag,PK,49,26,29.0427,67.8236,88.83,2.15
Sechura,PE,15,83,-5.5576,-80.8224,70.47,17.07
Shupiyan,IN,100,80,33.7202,74.8305,45.63,2.91
Dingle,PH,39,59,11.0001,122.6718,86.67,4.54
Malanje,AO,95,59,-9.5439,16.3475,63.09,1.81
Sulangan,PH,37,64,11.1373,123.7228,85.77,3.33
Bambanglipuro,ID,52,82,-7.95,110.2833,80.91,14.23
Saskylakh,RU,23,89,71.965,114.0939,8.19,2.66
Huoqiu,CN,35,18,32.3394,116.2694,70.47,16.73
Brae,GB,54,100,60.3964,-1.353,50,5.82
Sawtell,AU,75,93,-30.3834,153.1,62.01,3.36
Kruisfontein,ZA,99,79,-34.0034,24.7314,57.33,1.34
Norman Wells,CA,75,40,65.2824,-126.8328,69.8,4.7
Esperance,TT,20,74,10.2447,-61.4506,82.11,8.05
Mandali,IQ,55,22,33.7465,45.5522,85.59,5.55
Guerrero Negro,MX,9,79,27.971,-114.0364,63.45,14.67
Pevek,RU,0,66,69.7028,170.2747,23.31,4.74
Torbay,CA,90,93,47.6577,-52.727,35.96,27.51
Cloquet,US,75,80,46.7216,-92.4594,36.88,3.36
Gavle,SE,42,81,60.6745,17.1417,48.99,4
New Norfolk,AU,0,76,-42.7802,147.0615,50.81,10.29
Cacule,BR,2,92,-14.5034,-42.2223,67.05,4.9
Batemans Bay,AU,90,85,-35.7073,150.1783,51.01,4
Tessalit,ML,59,10,20.2009,1.014,93.51,7.54
Kuttigen,CH,75,93,47.4167,8.05,53.42,2.24
Katherine,AU,48,74,-14.4657,132.2631,78.8,10.29
Palauig,PH,100,69,15.435,119.9045,86.67,4.38
Abha,SA,20,82,18.2164,42.5044,58.14,5.08
Alofi,NU,85,78,-19.0596,-169.9187,80.6,14.99
Anito,PH,30,65,12.4502,125.2886,86.49,3.83
Tiksi,RU,42,89,71.6366,128.8685,15.21,10.02
Luzhou,CN,100,79,28.8871,105.4463,64.53,0.96
Saint-Joseph,FR,90,93,43.5562,6.9715,52.38,3.36
Cabo San Lucas,MX,5,36,22.8938,-109.9112,81.52,13.87
Codrington,AU,90,88,-28.9484,153.2428,62.46,1.12
Aksay,RU,0,71,47.2687,39.8614,55.4,2.24
Bethel,US,40,41,60.7922,-161.7559,58.98,9.17
Komsomolskiy,RU,100,92,67.5537,63.776,18.09,16.37
San Francisco,US,90,82,37.7793,-122.4193,56.66,6.93
Banda Aceh,ID,86,73,5.5577,95.3222,83.97,10.2
Thompson,CA,20,30,55.7433,-97.8635,59,9.17
Ibimirim,BR,59,86,-8.538,-37.6942,72.27,7.67
Meulaboh,ID,61,82,4.1363,96.1285,80.73,6.33
Cabinda,AO,32,89,-5.5577,12.1919,80.19,10.71
Burley,US,90,66,42.5357,-113.7928,49.26,9.17
Paducah,US,40,61,37.0834,-88.6001,78.49,12.75
Mount Isa,AU,0,47,-20.729,139.4932,75.2,9.17
Nhulunbuy,AU,75,78,-12.1805,136.776,82.4,13.87
Poya,NC,0,63,-21.3464,165.1591,75.15,15.41
Mehamn,NO,0,83,71.035,27.8517,35.55,14.12
Cape Town,ZA,90,93,-33.929,18.4174,58.48,26.4
Soldotna,US,75,38,60.4847,-151.0654,57.92,14.99
Salamiyah,SY,0,52,35.0117,37.0546,63.45,4.61
Hithadhoo,MV,100,70,-0.6,73.0833,84.51,6.15
Laguna,MX,20,13,27.5185,-110.0074,89.6,9.17
Ajdabiya,LY,100,62,30.755,20.2233,71.55,9.75
Mandalgovi,MN,0,24,45.763,106.2704,45.81,6.76
Ostrovnoy,RU,22,93,68.0544,39.5129,32.67,4.27
Avarua,CK,100,94,-21.2078,-159.775,75.2,4.7
Artyom,RU,75,93,43.357,132.1854,60.8,31.32
Hamilton,CA,75,82,43.2552,-79.8683,64.42,20.8
Chicomuselo,MX,47,41,15.7667,-92.2667,88.11,4.88
Karratha,AU,0,35,-20.7371,116.8479,74.43,9.66
Havre-Saint-Pierre,CA,1,46,50.2334,-63.5987,50,11.41
Tariba,VE,20,70,7.8188,-72.2243,84.2,9.17
Roald,NO,13,100,62.5838,6.1242,48.65,1.12
Snasa,NO,56,83,64.2457,12.3778,49.77,2.66
Xuddur,SO,60,81,4.1213,43.8894,74.61,13.06
Fortuna,ES,0,72,38.1801,-1.126,61.56,4.7
Bibiani,GH,100,99,6.4529,-2.315,74.07,2.51
Nelson Bay,AU,75,87,-32.7219,152.1441,60.71,5.82
Kon Tum,VN,68,85,14.3615,108.0039,75.51,1.05
Westport,IE,3,86,53.8001,-9.5203,47.95,9.55
Yerbogachen,RU,61,44,61.2767,108.0108,49.77,9.28
Poum,MK,58,92,41.2813,20.7117,48.51,3.94
Aklavik,CA,75,77,68.2183,-135.0136,44.6,8.05
Mount Gambier,AU,75,82,-37.8302,140.7843,57.2,13.87
Ancud,CL,90,100,-41.8682,-73.8288,41,5.82
Alberton,ZA,0,61,-26.253,28.1271,53.67,1.12
Luancheng,CN,0,23,37.8792,114.6517,64.4,13.42
Nikolskoye,RU,0,87,59.7035,30.7861,52.74,8.95
Doha,QA,0,65,25.2856,51.5264,81.79,8.05
Carnarvon,ZA,36,32,-30.9678,22.1333,58.05,6.76
Sorland,NO,100,76,67.667,12.6934,49.05,7.52
Aswan,EG,0,12,24.0911,32.8973,80.6,5.82
Cidreira,BR,1,91,-30.1658,-50.2184,67.77,6.04
Jieshi,CN,100,73,22.8158,115.8258,85.95,3.6
Port Elizabeth,US,1,83,39.3134,-74.9811,73.98,12.75
Paraiso,MX,5,4,24.0142,-104.6078,84.58,9.17
Georgetown,GY,40,78,6.8026,-58.1629,81.43,16.11
Campana,PA,40,78,8.7179,-79.8942,80.47,2.24
Vestmannaeyjar,IS,100,89,63.4427,-20.2734,46.71,6.17
Caravelas,BR,0,83,-17.7297,-39.2661,75.33,3.87
Hermanus,ZA,99,81,-34.4176,19.2361,59.65,19.55
Santa Cruz del Sur,CU,68,81,20.7147,-77.9956,76.95,4.63
Pochutla,MX,75,62,15.7432,-96.4661,86.88,11.41
Vada,IT,75,93,43.3509,10.4582,55.6,12.75
Kokopo,PG,100,84,-4.3439,152.2688,80.55,1.9
Southbridge,US,90,77,42.0751,-72.0335,66.52,12.75
Tigil,RU,99,74,57.8,158.6667,42.57,16.08
Seoul,KR,20,63,37.5667,126.9783,61.34,6.93
Coxim,BR,0,57,-18.505,-54.7451,74.43,3.69
Iskateley,RU,0,88,67.6803,53.1512,26.73,11.01
Biltine,TD,20,20,14.5252,20.9287,92.07,6.89
Tarakan,ID,75,88,3.3,117.6333,80.6,4.7
Gorontalo,ID,0,69,0.5384,123.0595,84.15,3.56
Leh,IN,58,39,34.1642,77.5848,24.75,4.16
Bayir,TR,0,72,37.2687,28.2167,64.11,1.12
Puerto Escondido,MX,40,70,15.8624,-97.0717,86,8.05
Cairns,AU,40,88,-16.9205,145.7719,71.11,10.29
Batagay-Alyta,RU,87,78,67.8006,130.4114,13.41,4.05
Abengourou,CI,100,92,6.7269,-3.4969,75.15,3.87
Oktyabrskiy,RU,0,65,55.6086,37.9744,49.05,2.42
Nome,US,75,74,30.0358,-94.4244,82.81,18.34
Salinopolis,BR,100,80,-0.6137,-47.3562,83.07,17.4
Linxia,CN,87,50,35.5959,103.2108,48.33,2.46
Suez,EG,17,50,29.9745,32.5371,69.75,7.4
Goure,NE,55,24,13.9835,10.2704,87.39,5.79
Semey,KZ,0,93,50.405,80.2492,53.6,11.18
Bitung,ID,0,94,1.4434,125.1941,78.8,2.24
Sidi Ali,DZ,54,62,36.0998,0.4206,67.23,6.98
Pilot Butte,CA,75,28,50.4786,-104.418,59.52,16.11
Namatanai,PG,100,76,-3.6642,152.4407,82.17,4.07
Opuwo,NA,0,38,-18.0559,13.8371,62.91,2.57
Nisia Floresta,BR,40,78,-6.0912,-35.2087,78.71,6.93
Longyearbyen,NO,90,74,78.2198,15.6349,30.2,8.05
Knysna,ZA,0,62,-34.0363,23.0471,55.4,5.82
Onguday,RU,92,63,50.7454,86.1415,45.09,4.52
Coahuayana,MX,1,23,18.6201,-100.3453,98.73,2.04
Kirakira,SB,81,71,-10.4569,161.9202,83.97,7.47
Morros,BR,20,88,-2.8667,-44.0389,80.6,6.93
High Level,CA,40,13,58.5167,-117.1334,73.4,20.8
Bambous Virieux,MU,75,94,-20.3428,57.7575,75.09,10.29
Richards Bay,ZA,0,68,-28.7745,32.0555,73.17,17.38
Salekhard,RU,100,84,66.5375,66.6157,28.17,17.94
Port Keats,AU,71,57,-14.25,129.55,83.97,11.72
Benjamin Constant,BR,0,83,-4.3814,-70.033,77.88,2.24
Ilulissat,GL,0,74,69.2167,-51.1,37.4,3.36
Hongjiang,CN,100,88,27.2129,109.832,60.03,4.85
Buala,SB,100,74,-8.1456,159.593,83.43,9.48
Kawalu,ID,91,94,-7.3817,108.2082,71.73,3.53
Colares,PT,0,76,38.7992,-9.4463,56.28,5.82
Bredasdorp,ZA,100,59,-34.5331,20.0428,62.02,2.24
Bonthe,SL,100,79,7.5273,-12.502,81.45,6.91
Christchurch,NZ,0,66,-43.531,172.6366,57.27,1.12
Nongpoh,IN,40,100,25.9,91.8833,82.4,1.92
Yar-Sale,RU,100,92,66.8333,70.8333,26.55,20.49
Kahului,US,40,43,20.8894,-156.4728,82.04,24.16
Trincomalee,LK,21,88,8.5764,81.2345,77.31,5.01
Pizhma,RU,38,88,57.8642,47.1171,33.39,5.35
La Palma,CO,100,86,5.3606,-74.3906,71.73,2.08
Verkhniy baskunchak,KZ,1,64,48.2293,46.723,56.97,11.68
Toamasina,MG,20,94,-18.1667,49.3833,68,2.82
Constitucion,MX,5,4,23.9912,-104.675,84.63,9.17
Rome,IT,40,87,41.8933,12.4829,54.05,6.93
Ulaangom,MN,16,27,49.98,92.0689,52.11,2.3
Berlevag,NO,0,81,70.8578,29.0864,32,3.36
Bacungan,PH,75,83,9.865,118.7296,80.6,4.7
Coquimbo,CL,90,93,-29.9532,-71.3381,53.6,4.7
Butaritari,KI,59,70,3.0707,172.7902,83.43,4.23
Hofn,IS,100,95,64.2539,-15.2082,36.63,8.9
Vieste,IT,25,60,41.8825,16.175,59.07,5.01
Changji,CN,15,20,32.0671,116.1675,71.01,15.03
Turukhansk,RU,89,88,65.7954,87.9608,40.23,10.51
Margate,AU,0,76,-43.0274,147.2623,49.06,10.29
Talnakh,RU,20,73,69.494,88.3908,26.6,17.9
Yarim,YE,62,62,14.2991,44.3794,68.67,1.43
Akoupe,CI,100,86,6.39,-3.9003,76.95,4.05
Tuatapere,NZ,100,84,-46.1324,167.6908,53.01,13
Saint-Augustin,FR,75,93,44.8323,-0.6091,52.88,5.82
Tarko-Sale,RU,100,93,64.9225,77.785,36,6.73
Saint Anthony,US,90,50,43.9663,-111.6822,53.47,16.11
Russell,AR,20,76,-33.0055,-68.7969,53.6,2.24
Hokitika,NZ,44,74,-42.7179,170.9646,55.17,8.81
Grindavik,IS,90,100,63.8424,-22.4338,45.64,8.05
Pangnirtung,CA,65,86,66.149,-65.7179,30.51,2.86
Cabedelo,BR,20,94,-6.9733,-34.8352,78.8,2.24
Portland,US,90,59,45.5202,-122.6742,61.16,9.17
Itaituba,BR,100,96,-4.2626,-55.9879,74.97,1.68
Peski,RU,0,87,59.9411,30.3817,52.74,8.95
Rawson,AR,0,51,-43.2992,-65.1057,47.79,3.58
Namibe,AO,0,79,-15.1902,12.1531,69.57,11.03
Williamsburg,US,1,43,37.2709,-76.7075,84.74,8.93
Gweta,BW,0,35,-20.209,25.2553,66.69,8.93
Saint-Pierre,FR,90,93,48.9455,4.2446,54.27,10.29
Tsovinar,AM,28,66,40.159,45.4675,45.27,2.98
Belaya Gora,RU,97,49,68.537,146.1873,23.85,5.06
Ayan,TR,44,84,40.6712,33.598,44.19,2.48
Itarema,BR,100,93,-2.9248,-39.9167,76.05,6.04
Agadez,NE,1,7,16.9726,7.9907,89.6,0.25
Lagoa,PT,0,82,37.1363,-8.4541,60.26,10.29
Virginia Beach,US,1,42,36.853,-75.9775,84.45,5.82
Puerto Boyaca,CO,100,95,5.9758,-74.5885,67.41,1.92
Paciran,ID,43,79,-6.8993,112.3347,76.77,4.94
Carballo,ES,0,87,43.2134,-8.6889,49.19,1.12
Salalah,OM,40,83,17.0149,54.0957,84.2,6.93
Point Pedro,LK,26,81,9.8167,80.2333,85.23,18.81
Gubkinskiy,RU,23,91,64.434,76.5026,33.57,7.07
Fort Saint James,CA,99,57,54.4333,-124.2501,61.47,4.54
Vuktyl,RU,5,77,63.8567,57.3094,32.85,13.04
Isla Mujeres,MX,40,66,21.2311,-86.7311,86,12.75
The Valley,AI,20,78,18.217,-63.0579,80.19,8.05
Turka,UA,1,81,49.1568,23.033,60.03,6.13
Prata,BR,0,78,-19.3073,-48.9239,65.79,3.13
Rosario,UY,22,95,-34.3116,-57.3513,53.01,13.09
Bilma,NE,0,6,18.6929,12.9187,87.75,8.3
Lucea,JM,75,69,18.4423,-78.1727,79.3,6.93
Maicao,CO,100,65,11.3779,-72.2389,85.05,4.23
Collierville,US,75,58,35.042,-89.6646,81.37,12.75
Katesh,TZ,42,93,-4.5227,35.3886,58.77,10.27
Chapais,CA,90,75,49.7839,-74.8569,44.6,8.05
Avera,US,1,31,33.194,-82.5271,84.78,4.7
Pudozh,RU,2,70,61.8084,36.536,36.27,3.94
Xai-Xai,MZ,0,95,-25.0445,33.6407,63.63,3.36
Matagami,NG,100,83,9.6667,8.4,75.51,3.85
Dawei,MM,92,78,14.0733,98.1933,83.25,2.62
Kavaratti,IN,13,68,10.5669,72.642,85.59,5.12
Mahibadhoo,MV,45,72,3.7833,72.9667,85.41,10.38
Launceston,AU,40,93,-41.4341,147.1373,47.84,1.68
Muli,IN,33,80,22.6217,71.4527,81.09,11.54
Nishihara,JP,20,68,35.7387,139.5312,70.38,3.36
Chelno-Vershiny,RU,1,83,54.4198,51.0817,33.93,7.74
Hoi An,VN,20,79,15.8794,108.3274,84.2,1.12
Tinongan,PH,53,67,10.2156,123.0336,83.97,5.23
Balgazyn,RU,2,31,51,95.2,54.99,3.56
Las Varas,MX,5,48,21.1806,-105.1366,82.76,9.17
Eyl,SO,90,75,7.9808,49.8184,80.73,9.06
Touros,BR,75,94,-5.1989,-35.4609,77,3.36
Lorengau,PG,100,68,-2.0226,147.2712,85.05,3.49
Naze,NG,80,92,5.4333,7.0667,76.41,4.85
Waitati,NZ,55,58,-45.7479,170.5729,55.99,24
Riyadh,SA,75,26,24.632,46.7151,84.2,8.05
Shelburne,CA,40,82,44.0785,-80.2035,64.89,17.22
Ponta Delgada,PT,40,82,37.7333,-25.6667,62.6,10.29
Hengshui,CN,17,14,37.7322,115.7011,68.67,15.05
Te Anau,NZ,37,76,-45.4145,167.7175,47.25,5.08
Verkh-Usugli,RU,0,51,52.7,115.1667,43.29,8.39
Huntsville,US,100,50,34.7298,-86.586,74.98,9.17
Los Llanos de Aridane,ES,90,68,28.6585,-17.9183,63.57,12.75
Luderitz,NA,0,93,-26.6481,15.1594,51.8,1.12
Geraldton,CA,75,46,49.7189,-86.9494,50,16.11
Las Cruces,CL,85,81,-33.4998,-71.624,53.83,2.24
Mayo,CA,75,25,63.5927,-135.8962,66.2,3.36
Copiapo,CL,90,76,-27.3667,-70.3334,57.2,4.7
Hanzhong,CN,93,66,33.0821,107.0309,61.11,2.28
Nipawin,CA,40,29,53.3628,-104.0172,62.6,13.87
Port Macquarie,AU,91,77,-31.43,152.9104,64.22,5.82
Punta Alta,AR,0,94,-27.4624,-55.8245,68,6.93
Tual,ID,91,77,-5.6667,132.75,82.71,11.5
Okha,RU,70,78,53.5905,142.9501,40.77,4.47
Cascais,PT,0,76,38.6969,-9.4205,56.26,5.82
Moradabad,IN,0,31,28.8335,78.7733,82.35,2.35
Deputatskiy,RU,0,84,69.3,139.9,9.81,3.58
Kiunga,PG,100,94,-6.116,141.2982,79.47,0.27
Acapulco,MX,20,78,16.8603,-99.8769,82.4,6.93
Zuwarah,LY,100,55,32.9328,12.0806,71.91,5.12
Porosozero,RU,86,61,62.7207,32.7128,43.11,5.86
Bathsheba,BB,40,74,13.2167,-59.5167,80.6,17.22
Elko,US,75,46,40.8324,-115.7632,51.08,12.75
Walvis Bay,NA,0,93,-22.9544,14.5075,53.89,5.82
Bubaque,GW,100,71,11.2833,-15.8334,79.83,16.64
Poughkeepsie,US,40,73,41.7066,-73.9285,70.86,13.87
Kathu,ZA,0,39,-27.6959,23.05,60.01,13
Denpasar,ID,20,88,-8.65,115.2167,77,2.24
Wasilla,US,75,44,61.5828,-149.4381,57.6,4.7
Ust-Nera,RU,52,52,64.5664,143.2378,25.11,7
Machilipatnam,IN,0,80,16.1819,81.1351,83.43,5.68
Eureka,US,40,76,40.8021,-124.1637,59.16,13.87
Oistins,BB,40,74,13.0667,-59.5334,80.6,17.22
Necochea,AR,1,81,-38.5473,-58.7368,46,5.77
Goksun,TR,0,77,38.021,36.4973,62.89,8.05
Guigue,VE,94,58,10.0853,-67.7792,80.73,1.66
Najran,SA,40,53,17.544,44.2247,73.4,1.03
Lasa,CY,20,82,34.9245,32.5278,63.07,3.36
Maniitsoq,GL,59,81,65.4167,-52.9001,37.53,3.74
Plettenberg Bay,ZA,85,46,-34.0528,23.3716,62.73,3.36
Damaturu,NG,97,35,11.747,11.9608,88.11,9.19
Marsa Matruh,EG,0,77,31.3525,27.2453,64.4,6.93
Praia,BR,0,77,-20.2488,-43.8055,67.05,4.7
Girona,ES,20,93,41.9793,2.8199,50.52,3.36
Tura,IN,1,93,25.5174,90.2067,76.95,5.93
Amahai,ID,72,80,-3.3082,129.0011,89.01,1.01
Nova Olinda do Norte,BR,100,97,-3.8927,-59.0954,75.15,1.45
Lyantonde,UG,100,95,-0.4065,31.1536,60.75,2.42
Flinders,AU,0,77,-34.581,150.846,62.64,5.82
Dennery,LC,20,78,13.8996,-60.8879,81,10.29
Fomboni,KM,100,76,-12.28,43.7425,81.81,14.94
Puerto del Rosario,ES,75,72,28.5004,-13.8628,66.97,18.34
Kalevala,FI,89,56,64.1181,29.5793,50.85,9.46
Tromso,NO,0,70,69.6489,18.9551,43.03,8.05
Saint-Louis,CH,99,87,47.586,7.5616,53.47,3.36
Pemba,MZ,75,94,-12.9733,40.5221,75.2,6.93
Atar,MR,0,37,20.5183,-13.0544,80.91,15.52
Polunochnoye,RU,23,87,60.8693,60.4253,30.51,4.65
Amazar,RU,8,55,53.8602,120.8781,41.49,14.45
Kununurra,AU,26,65,-15.7731,128.7388,78.8,5.82
Willowmore,ZA,78,33,-33.2954,23.4883,58.59,6.24
Kailua,US,75,74,21.3936,-157.7438,82.9,12.75
Paamiut,GL,0,91,61.994,-49.6678,36.09,12.03
Ukiah,US,1,62,39.1502,-123.2078,54.64,10.29
Semnan,IR,40,21,35.5836,53.3879,71.6,4.7
Toumodi,CI,20,83,6.5602,-5.0161,80.6,9.17
Yeppoon,AU,20,68,-23.1349,150.7437,69.8,10.29
Basco,US,90,72,40.3278,-91.2002,62.96,19.46
Nokha,IN,0,33,27.5575,73.4724,89.91,8.23
Hede,SE,33,93,60.4507,15.487,53.92,3.36
Qaqortoq,GL,31,50,60.7167,-46.0334,51.8,4.7
La Ronge,CA,20,27,55.1004,-105.3013,62.6,11.41
Sao Felix do Xingu,BR,86,98,-6.6448,-51.995,72.27,2.59
Glendive,US,90,49,47.1053,-104.7125,47.25,5.82
Bayshore Gardens,US,1,65,27.4253,-82.5904,83.71,9.17
Manaure,CO,90,78,11.7771,-72.447,82.4,6.93
Pisco,PE,77,30,-13.71,-76.203,69.03,6.93
Nikki,BJ,81,56,9.9363,3.2086,84.51,7.99
Katsuura,JP,75,82,33.9258,134.505,70.39,24.16
Metz,FR,90,100,49.1197,6.1764,54.77,4.7
Burnie,AU,98,85,-41.0524,145.9064,54.27,3
Eyemouth,GB,78,93,55.8722,-2.0894,51.24,1.12
Pushkino,RU,0,53,56.0104,37.8462,48.97,4.47
Mecca,SA,0,35,21.426,39.8297,88.29,3.33
Sao Filipe,CV,93,82,14.8961,-24.4956,73.35,16.84
Esso,RU,97,77,55.9282,158.7044,35.01,6.11
Shestakovo,RU,63,28,56.4942,103.9623,51.03,8.21
Chuy,UY,100,87,-33.6938,-53.4562,62.91,11.92
North Bend,US,1,63,43.4065,-124.2243,60.98,11.41
Timbuktu,ML,65,22,16.7719,-3.0088,91.71,16.2
Erzin,TR,20,100,36.9536,36.2023,64.22,3.36
Auki,NG,60,54,12.1824,6.5056,87.03,13.18
San Andres,PH,64,65,13.3235,122.6774,87.39,3.76
Aitape,PG,72,60,-3.1511,142.3594,85.77,1.32
Pacific Grove,US,1,63,36.6174,-121.9156,58.32,13.87
Makakilo City,US,90,55,21.3469,-158.0859,82.89,11.41
Donskoye,RU,40,87,45.4548,41.9756,60.28,2.24
Sinjar,SY,0,58,35.5898,37.004,65.61,7.61
Porto Novo,BR,75,93,-23.6775,-45.4418,62.6,5.82
